Period,Studio,1 Bed,2 Beds,3 Beds
2009 Q1,-,"$1,354 ","$1,269 ","$1,172 "
2008 Q4,-,"$1,356 ","$1,271 ","$1,174 "
2008 Q3,-,"$1,351 ","$1,271 ","$1,208 "
2008 Q2,-,"$1,374 ","$1,292 ","$1,227 "
2008 Q1,-,"$1,381 ","$1,298 ","$1,226 "
2007 Q4,-,"$1,392 ","$1,309 ","$1,238 "
2007 Q3,-,"$1,413 ","$1,328 ","$1,257 "
2007 Q2,-,"$1,418 ","$1,333 ","$1,263 "
2007 Q1,-,"$1,407 ","$1,320 ","$1,226 "
2006 Q4,-,"$1,411 ","$1,324 ","$1,233 "
2006 Q3,-,"$1,401 ","$1,314 ","$1,225 "
2006 Q2,-,"$1,398 ","$1,312 ","$1,220 "
2006 Q1,-,"$1,388 ","$1,303 ","$1,218 "
2005 Q4,-,"$1,382 ","$1,297 ","$1,217 "
2005 Q3,-,"$1,394 ","$1,309 ","$1,228 "
2005 Q2,-,"$1,403 ","$1,317 ","$1,232 "
2005 Q1,-,"$1,398 ","$1,313 ","$1,229 "
2004 Q4,-,"$1,406 ","$1,320 ","$1,236 "
2004 Q3,-,"$1,428 ","$1,340 ","$1,251 "
2004 Q2,-,"$1,428 ","$1,340 ","$1,253 "
2004 Q1,-,"$1,420 ","$1,333 ","$1,246 "
2003 Q4,-,"$1,434 ","$1,346 ","$1,259 "
2003 Q3,-,"$1,454 ","$1,365 ","$1,276 "
2003 Q2,-,"$1,477 ","$1,387 ","$1,296 "
2003 Q1,-,"$1,480 ","$1,389 ","$1,299 "
2002 Q4,-,"$1,496 ","$1,405 ","$1,313 "
2002 Q3,-,"$1,496 ","$1,404 ","$1,313 "
2002 Q2,-,"$1,525 ","$1,432 ","$1,339 "
2002 Q1,-,"$1,547 ","$1,452 ","$1,357 "
2001 Q4,-,"$1,538 ","$1,444 ","$1,350 "
2001 Q3,-,"$1,497 ","$1,405 ","$1,314 "
2001 Q2,-,"$1,470 ","$1,380 ","$1,290 "
2001 Q1,-,"$1,446 ","$1,357 ","$1,269 "
2000 Q4,-,"$1,446 ","$1,358 ","$1,269 "
2000 Q3,-,"$1,448 ","$1,359 ","$1,271 "
2000 Q2,-,"$1,451 ","$1,362 ","$1,273 "
2000 Q1,-,"$1,449 ","$1,361 ","$1,272 "
