Period,Studio,1 Bed,2 Beds,3 Beds
2008 Q4,$756 ,"$1,008 ","$1,243 ","$1,619 "
2008 Q3,$746 ,$994 ,"$1,225 ","$1,596 "
2008 Q2,$758 ,"$1,011 ","$1,245 ","$1,623 "
2008 Q1,$764 ,"$1,018 ","$1,255 ","$1,635 "
2007 Q4,$770 ,"$1,026 ","$1,265 ","$1,648 "
2007 Q3,$781 ,"$1,041 ","$1,283 ","$1,672 "
2007 Q2,$783 ,"$1,044 ","$1,287 ","$1,677 "
2007 Q1,$783 ,"$1,044 ","$1,287 ","$1,676 "
2006 Q4,$785 ,"$1,046 ","$1,290 ","$1,680 "
2006 Q3,$779 ,"$1,038 ","$1,280 ","$1,667 "
2006 Q2,$777 ,"$1,037 ","$1,278 ","$1,665 "
2006 Q1,$771 ,"$1,027 ","$1,267 ","$1,650 "
2005 Q4,$766 ,"$1,022 ","$1,259 ","$1,641 "
2005 Q3,$773 ,"$1,030 ","$1,270 ","$1,655 "
2005 Q2,$778 ,"$1,038 ","$1,280 ","$1,667 "
2005 Q1,$776 ,"$1,035 ","$1,275 ","$1,662 "
2004 Q4,$781 ,"$1,040 ","$1,283 ","$1,671 "
2004 Q3,$794 ,"$1,058 ","$1,304 ","$1,699 "
2004 Q2,$793 ,"$1,057 ","$1,303 ","$1,698 "
2004 Q1,$789 ,"$1,051 ","$1,296 ","$1,688 "
2003 Q4,$796 ,"$1,062 ","$1,309 ","$1,705 "
2003 Q3,$807 ,"$1,076 ","$1,327 ","$1,729 "
2003 Q2,$820 ,"$1,094 ","$1,348 ","$1,756 "
2003 Q1,$822 ,"$1,096 ","$1,351 ","$1,760 "
2002 Q4,$831 ,"$1,108 ","$1,366 ","$1,779 "
2002 Q3,$831 ,"$1,108 ","$1,365 ","$1,779 "
2002 Q2,$847 ,"$1,129 ","$1,392 ","$1,814 "
2002 Q1,$859 ,"$1,145 ","$1,412 ","$1,839 "
2001 Q4,$854 ,"$1,139 ","$1,404 ","$1,829 "
2001 Q3,$831 ,"$1,108 ","$1,367 ","$1,780 "
2001 Q2,$816 ,"$1,088 ","$1,342 ","$1,748 "
2001 Q1,$803 ,"$1,070 ","$1,320 ","$1,719 "
2000 Q4,$803 ,"$1,071 ","$1,320 ","$1,720 "
2000 Q3,$804 ,"$1,072 ","$1,322 ","$1,722 "
2000 Q2,$806 ,"$1,074 ","$1,324 ","$1,725 "
2000 Q1,$805 ,"$1,073 ","$1,323 ","$1,723 "
