PID,Prop Type,Status,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market,Sales Date,Zip
769-69-36-38-900-000,Condo/Town,CLOSD,6409 Sexton DR,Ashley Village,Townhouse,3,2.1,6,"1,292","$189,000 ","$195,000 ",18,7/30/2021,23224
768-69-14-69-300-000,Single Family,CLOSD,3801 Grizzard DR,Belmont Hills,Detached,3,1,5,"1,056","$195,000 ","$210,000 ",19,1/28/2022,23832
766-69-09-62-900-000,Single Family,CLOSD,6910 Lightwood CT,Old Creek West,Detached,3,1,5,"1,024","$195,000 ","$218,000 ",5,9/24/2021,23832
768-69-42-11-300-000,Single Family,CLOSD,6534 N Stevens Hollow DR,Stevens Hollow,Detached,3,2.1,6,"1,524","$195,000 ","$210,000 ",3,9/28/2021,23832
769-69-38-25-100-000,Condo/Town,CLOSD,4724 Milfax RD,Ashley Village,Townhouse,3,2.1,6,"1,292","$195,000 ","$196,500 ",4,10/7/2021,23224
769-69-43-16-900-000,Condo/Town,CLOSD,3108 KIM DR,Ashley Village,Townhouse,3,2.1,6,"1,216","$197,500 ","$203,000 ",3,12/9/2021,23224
769-69-37-09-600-000,Condo/Town,CLOSD,3206 Kim DR,Ashley Village,Townhouse,3,2.1,6,"1,292","$197,500 ","$195,000 ",3,8/19/2021,23224
757-68-99-36-900-000,Single Family,CLOSD,3728 Tanbark RD,Longwood Acres,Detached,3,2,7,"1,446","$199,900 ","$221,750 ",9,10/21/2021,23235
770-69-49-39-300-000,Condo/Town,CLOSD,2905 Haddington CT,Newberry Towne,Townhouse,3,1.1,5,"1,512","$199,900 ","$205,000 ",9,8/18/2021,23224
769-69-38-58-300-000,Condo/Town,CLOSD,4618 Milfax RD,Ashley Forest,Townhouse,3,2.1,6,"1,292","$199,950 ","$208,000 ",6,10/22/2021,23224
764-69-19-71-000-000,Single Family,CLOSD,7206 Madras CT,Old Creek West,Detached,3,2,5,"1,098","$200,000 ","$220,000 ",4,8/26/2021,23832
764-69-39-58-600-000,Single Family,CLOSD,3104 Holridge ST,Holly Ridge,Detached,3,2.1,6,"1,568","$205,000 ","$210,000 ",4,7/20/2022,23832
771-69-42-87-600-000,Condo/Town,CLOSD,2810 Ennismore CT Unit#2810,Newberry Towne,Condominium,3,1.1,6,"1,524","$205,000 ","$212,000 ",3,11/4/2021,23224
771-69-37-49-700-000,Condo/Town,CLOSD,3134 Newington CT,Newberry Towne,Townhouse,3,2.2,6,"2,155","$205,000 ","$220,000 ",5,9/3/2021,23224
770-69-53-91-300-000,Condo/Town,CLOSD,6203 Aldersbrook CT,Newberry Towne,Townhouse,4,2.1,7,"2,079","$207,000 ","$205,000 ",27,12/1/2021,23224
760-69-05-87-400-000,Single Family,CLOSD,3404 Fallbrooke CT,Wyntrebrooke,Detached,3,1.1,6,"1,200","$209,000 ","$228,000 ",2,9/30/2021,23235
769-69-41-11-900-000,Single Family,CLOSD,6510 N Stevens Hollow DR,Stevens Hollow,Detached,3,2.1,5,"1,040","$209,900 ","$240,000 ",8,4/14/2022,23832
764-69-30-20-600-000,Single Family,CLOSD,7412 Newbys CT,Holly Ridge,Detached,3,2,5,"1,188","$209,950 ","$220,000 ",4,8/20/2021,23832
760-69-11-96-900-000,Single Family,CLOSD,3212 Wyntrebrooke DR,Wyntrebrooke,Detached,3,1,5,"1,050","$210,000 ","$231,000 ",4,3/10/2022,23235
760-69-19-04-400-000,Single Family,CLOSD,8003 Summerbrooke CT,Wyntrebrooke,Detached,3,2,5,"1,224","$210,000 ","$194,650 ",4,12/3/2021,23235
765-69-37-27-500-000,Single Family,CLOSD,6902 Able RD,Holly Ridge,Detached,4,2,7,"1,588","$215,000 ","$260,000 ",4,4/15/2022,23832
769-69-39-28-800-000,Condo/Town,CLOSD,4610 Milfax RD,Ashley Village,Townhouse,3,2.1,6,"1,292","$215,000 ","$213,000 ",7,3/24/2022,23224
765-69-07-19-000-000,Single Family,CLOSD,7101 Madras CT,Old Creek West,Detached,3,2,5,"1,245","$215,000 ","$215,000 ",4,11/12/2021,23832
768-69-55-61-800-000,Single Family,CLOSD,6539 Walmsley BLVD,None,Detached,4,1,7,"1,248","$215,000 ","$215,000 ",65,12/20/2021,23224
770-69-45-85-600-000,Condo/Town,CLOSD,3102 S Battlebridge DR Unit#3102,Newberry Towne,Townhouse,4,2.1,8,"2,268","$215,000 ","$218,000 ",5,10/4/2021,23224
769-69-43-16-900-000,Condo/Town,CLOSD,3108 Kim DR,Ashley Village,Townhouse,3,2.1,6,"1,216","$218,500 ","$250,000 ",6,6/16/2022,23224
760-69-07-33-900-000,Single Family,CLOSD,3361 Summerbrooke DR,Wyntrebrooke,Detached,3,2,5,"1,546","$219,000 ","$242,500 ",3,7/26/2021,23235
765-69-20-78-900-000,Single Family,CLOSD,7102 Egan PL,Holly Ridge,Detached,3,2,5,"1,056","$219,900 ","$230,000 ",2,10/15/2021,23832
770-69-45-07-900-000,Condo/Town,CLOSD,3013 Waddington DR,Newberry Towne,Townhouse,3,3.1,7,"2,376","$220,000 ","$212,000 ",22,2/15/2022,23224
757-68-88-29-400-000,Single Family,CLOSD,3825 Foxglove RD,Longwood Acres,Detached,3,2,7,"1,612","$220,000 ","$245,000 ",4,9/10/2021,23235
770-69-59-80-600-000,Condo/Town,CLOSD,2902 Haddington CT,Newberry Towne,Townhouse,3,2.1,7,"2,163","$225,000 ","$255,000 ",9,7/12/2022,23224
766-69-04-03-300-000,Single Family,CLOSD,4003 West CT,Old Creek West,Detached,3,2,5,"1,100","$225,000 ","$230,000 ",6,12/6/2021,23832
768-69-73-81-000-000,Single Family,CLOSD,6617 Wimbledon DR,Marlboro,Detached,3,2,7,"1,377","$225,000 ","$225,000 ",15,11/30/2021,23224
764-69-29-88-500-000,Single Family,CLOSD,7104 Egan PL,Holly Ridge,Detached,4,2,6,"1,224","$225,000 ","$230,000 ",7,9/10/2021,23832
770-69-42-56-300-000,Condo/Town,CLOSD,3032 Waddington DR,Newberry Towne,Townhouse,3,1.2,7,"1,890","$229,000 ","$235,000 ",7,6/10/2022,23224
760-69-17-89-000-000,Single Family,CLOSD,3200 Summerbrooke DR,Wyntrebrooke,Detached,3,2,5,960,"$229,000 ","$246,000 ",8,7/8/2022,23235
7.60691E+14,Single Family,CLOSD,3320 Summerbrooke DR,Wyntrebrooke,Detached,3,1.1,6,960,"$229,000 ","$223,000 ",6,4/12/2022,23235
768-69-33-00-500-000,Single Family,CLOSD,6545 S Stevens Hollow DR,Stevens Hollow,Detached,4,2,7,"1,524","$229,900 ","$229,900 ",5,10/26/2021,23832
768-69-34-13-700-000,Single Family,CLOSD,6546 Sexton DR,Stevens Hollow,Detached,4,2,8,"2,040","$229,950 ","$261,000 ",4,4/15/2022,23832
769-69-35-04-900-000,Single Family,CLOSD,6503 S Stevens Hollow DR,Stevens Hollow,Detached,4,2,7,"1,588","$229,950 ","$230,000 ",11,2/23/2022,23832
767-69-40-98-000-000,Single Family,CLOSD,3125 Turner RD,None,Detached,3,2,6,"1,489","$229,950 ","$240,000 ",6,11/18/2021,23832
757-69-05-80-600-000,Single Family,CLOSD,8610 Luton RD,Longwood Acres,Detached,3,1,7,"1,375","$230,000 ","$240,000 ",7,4/14/2022,23235
768-69-64-61-500-000,Single Family,CLOSD,6616 Commander RD,Marlboro,Detached,3,1.1,7,"1,566","$230,000 ","$235,000 ",5,8/27/2021,23224
769-69-59-07-600-000,Single Family,CLOSD,6311 Commander RD,Marlboro,Detached,3,2.1,6,"2,239","$230,000 ","$242,000 ",2,7/30/2021,23224
768-69-82-56-000-000,Single Family,CLOSD,2212 Lancers BLVD,Manchester Heights,Detached,4,1.1,7,"1,887","$232,000 ","$220,000 ",8,9/28/2021,23224
769-69-32-32-500-000,Single Family,CLOSD,6513 S Stevens Hollow DR,Stevens Hollow,Detached,4,2,6,"1,524","$233,900 ","$238,000 ",7,7/30/2021,23832
769-69-70-82-500-000,Single Family,CLOSD,6510 Wimbledon DR,Marlboro,Detached,3,1.1,6,"1,325","$235,000 ","$239,000 ",2,4/26/2022,23224
759-68-86-38-300-000,Single Family,CLOSD,8349 Hunton CIR,Bedford,Detached,3,2,7,"1,605","$235,000 ","$240,000 ",3,8/19/2021,23235
768-69-19-46-000-000,Single Family,CLOSD,3933 Bronholly RD,Belmont Hills,Detached,3,1.1,7,"1,456","$239,000 ","$239,000 ",3,7/1/2022,23832
766-69-04-03-300-000,Single Family,CLOSD,4003 West CT,Old Creek West,Detached,3,2,5,"1,100","$239,000 ","$250,000 ",1,4/13/2022,23832
765-69-23-67-900-000,Single Family,CLOSD,7015 Egan PL,Holly Ridge,Detached,4,2.1,7,"1,860","$239,900 ","$260,500 ",7,9/2/2021,23832
767-69-18-26-100-000,Single Family,CLOSD,6640 West RD,Belmont Hills,Detached,3,2,6,"1,425","$240,000 ","$277,000 ",4,7/8/2022,23832
769-69-54-37-800-000,Single Family,CLOSD,6401 Commander RD,Marlboro,Detached,3,1.1,6,"1,484","$240,000 ","$265,000 ",5,6/8/2022,23224
770-69-53-01-300-000,Condo/Town,CLOSD,6211 Aldersbrook CT,Newberry Towne,Townhouse,4,2.1,7,"2,280","$240,000 ","$258,000 ",6,4/28/2022,23224
766-69-25-37-800-000,Single Family,CLOSD,6829 Silliman DR,Belmont Hills,Detached,3,2,6,"1,726","$240,000 ","$235,000 ",9,8/23/2021,23832
769-69-60-83-500-000,Single Family,CLOSD,2617 Twain LN,Marlboro,Detached,6,2.1,10,"2,430","$242,000 ","$264,000 ",3,9/17/2021,23224
769-69-05-87-600-000,Single Family,CLOSD,4125 Bronholly RD,Belmont Hills,Detached,3,1.1,5,"1,104","$244,950 ","$270,000 ",4,3/31/2022,23832
766-69-17-42-000-000,Single Family,CLOSD,3621 Old Creek RD,Belmont Hills West,Detached,3,2,7,"1,378","$249,900 ","$245,000 ",9,1/7/2022,23832
766-69-01-98-800-000,Single Family,CLOSD,7002 Madras CT,Old Creek West,Detached,3,2,5,"1,374","$249,950 ","$266,500 ",6,2/25/2022,23832
757-68-97-91-700-000,Single Family,CLOSD,3801 Foxglove RD,Longwood Acres,Detached,3,1.1,6,"1,378","$249,950 ","$264,826 ",10,8/26/2021,23235
766-69-37-20-700-000,Single Family,CLOSD,6800 Silliman DR,Belmont Hills,Detached,4,2,7,"1,623","$249,950 ","$260,000 ",5,8/16/2021,23832
770-69-38-69-200-000,Condo/Town,CLOSD,6012 Partingdale CIR,Newberry Towne,Townhouse,4,2.1,8,"2,268","$250,000 ","$247,000 ",15,6/17/2022,23224
767-69-21-53-700-000,Single Family,CLOSD,3600 Ghent DR,Belmont Hills,Detached,3,2,8,"1,482","$250,000 ","$275,000 ",2,6/17/2022,23832
765-69-07-19-000-000,Single Family,CLOSD,7101 Madras CT,Old Creek West,Detached,3,2,5,"1,245","$250,000 ","$270,000 ",4,5/13/2022,23832
767-69-16-34-500-000,Single Family,CLOSD,6710 West RD,Belmont Hills,Detached,3,2,7,"1,425","$250,000 ","$270,000 ",5,4/28/2022,23832
763-69-16-64-300-000,Single Family,CLOSD,3704 Malbon WAY,Old Creek West,Detached,4,2,6,"1,408","$250,000 ","$270,000 ",11,10/1/2021,23832
766-69-02-86-000-000,Single Family,CLOSD,3902 West TER,Old Creek West,Detached,4,2,6,"1,540","$255,000 ","$296,000 ",4,3/4/2022,23832
763-69-28-14-200-000,Single Family,CLOSD,3409 Newbys Bridge RD,None,Detached,3,1.1,6,"1,375","$259,000 ","$279,000 ",4,12/2/2021,23832
767-68-96-74-700-000,Single Family,CLOSD,7014 Summers Trace CT,Windy Creek,Detached,3,2,5,"1,400","$259,900 ","$275,500 ",5,12/9/2021,23832
760-69-12-81-000-000,Single Family,CLOSD,8118 Fallbrooke DR,Wyntrebrooke,Detached,3,2,6,"1,352","$259,950 ","$262,950 ",5,1/7/2022,23235
759-68-85-15-400-000,Single Family,CLOSD,8410 Hunton CIR,Bedford,Detached,3,2,7,"1,470","$260,000 ","$275,000 ",8,12/13/2021,23235
758-68-84-69-300-000,Single Family,CLOSD,8506 Lyndale DR,Longwood Acres,Detached,3,2,6,"1,262","$260,000 ","$265,000 ",5,8/30/2021,23235
766-69-46-44-700-000,Single Family,CLOSD,3113 Lifsey LN,North Lake Hills,Detached,3,2,7,"1,740","$264,999 ","$265,000 ",7,2/23/2022,23832
763-68-91-17-200-000,Single Family,CLOSD,7507 Hadley LN,Creekwood,Detached,3,2.1,7,"1,908","$265,000 ","$321,100 ",5,6/24/2022,23832
759-68-90-30-100-000,Single Family,CLOSD,3907 Lyndale TER,Bedford,Detached,3,2,7,"1,730","$265,000 ","$285,000 ",6,1/6/2022,23235
7.63689E+14,Single Family,CLOSD,7500 Hadley LN,Creekwood,Detached,4,2.1,9,"2,336","$265,000 ","$278,000 ",6,8/20/2021,23832
767-68-94-49-400-000,Single Family,CLOSD,6806 Windy Creek PL,Windy Creek,Detached,3,2.1,7,"1,696","$267,400 ","$275,000 ",8,10/7/2021,23832
758-68-75-49-300-000,Single Family,CLOSD,3955 Tanbark RD,Longwood Acres,Detached,4,3,8,"2,352","$269,000 ","$295,000 ",6,7/26/2021,23235
767-69-41-41-700-000,Single Family,CLOSD,3218 Turner RD,North Lake Hills,Detached,3,2,7,"1,981","$270,000 ","$280,000 ",2,11/24/2021,23832
767-69-10-05-100-000,Single Family,CLOSD,3609 Welch CT,Belmont Hills West,Detached,3,2.1,6,"1,606","$270,000 ","$285,000 ",7,8/30/2021,23832
760-69-01-35-900-000,Single Family,CLOSD,3435 Summerbrooke DR,Wyntrebrooke,Detached,3,2.1,6,"1,664","$274,950 ","$275,000 ",6,2/4/2022,23235
758-68-81-93-800-000,Single Family,CLOSD,3920 Tanbark RD,Longwood Acres,Detached,4,2,8,"1,875","$275,000 ","$275,000 ",5,7/22/2022,23235
761-69-12-13-500-000,Single Family,CLOSD,3249 Summerbrooke DR,Wyntrebrooke,Detached,3,2,5,"1,160","$275,000 ","$270,000 ",8,6/28/2022,23235
768-69-51-74-900-000,Single Family,CLOSD,6624 Walmsley BLVD,None,Detached,3,2,7,"1,547","$275,000 ","$275,000 ",7,3/18/2022,23224
758-69-07-12-500-000,Single Family,CLOSD,8400 Huntwood CT,Longwood Acres,Detached,4,3,7,"2,386","$275,000 ","$277,000 ",2,12/23/2021,23235
765-69-01-61-600-000,Single Family,CLOSD,3936 Sunny Creek DR,Windy Creek,Detached,3,2.1,6,"1,620","$275,000 ","$290,000 ",5,11/24/2021,23832
763-69-06-75-500-000,Single Family,CLOSD,3941 LLEWELLYN LN,Creekwood,Detached,3,2.1,7,"1,880","$275,000 ","$267,000 ",8,12/21/2021,23832
763-69-07-34-700-000,Single Family,CLOSD,3949 Llewellyn LN,Creekwood,Detached,4,2.1,8,"1,791","$275,000 ","$275,000 ",5,10/8/2021,23832
761-69-19-59-100-000,Single Family,CLOSD,7929 Walmsley BLVD,Leroy Branch,Detached,3,2,6,"1,539","$275,000 ","$285,100 ",3,10/18/2021,23235
764-68-91-99-400-000,Single Family,CLOSD,4110 Round Hill DR,Creekwood,Detached,3,2,7,"1,630","$279,000 ","$311,000 ",3,5/12/2022,23832
763-68-73-47-800-000,Single Family,CLOSD,4413 Litchfield DR,Creekwood,Detached,4,2.1,7,"2,080","$280,000 ","$305,000 ",5,7/27/2021,23832
765-69-25-90-100-000,Single Family,CLOSD,3503 Slate CT,Belmont Hills West,Detached,4,2.1,8,"1,845","$285,000 ","$282,500 ",48,12/3/2021,23832
764-69-03-47-600-000,Single Family,CLOSD,7401 Sunswyck CT,Creekwood,Detached,4,2.1,8,"1,814","$285,000 ","$290,000 ",3,9/8/2021,23832
767-68-94-85-500-000,Single Family,CLOSD,3807 Summers Trace DR,Summers Trace,Detached,4,2.1,8,"2,098","$285,000 ","$295,000 ",0,8/2/2021,23832
765-69-28-62-400-000,Single Family,CLOSD,6911 Old Creek CT,Belmont Hills West,Detached,3,2,7,"1,620","$289,000 ","$289,000 ",6,6/29/2022,23832
763-68-78-18-500-000,Single Family,CLOSD,7453 Towchester DR,Creekwood,Detached,3,2,5,"1,766","$289,000 ","$280,000 ",4,9/15/2021,23832
767-69-22-79-700-000,Single Family,CLOSD,3612 Ghent CT,Belmont Hills,Detached,4,3,8,"2,600","$289,900 ","$322,500 ",2,3/21/2022,23832
766-69-19-17-500-000,Single Family,CLOSD,3603 Welch CT,Belmont Hills West,Detached,3,2,6,"1,540","$289,950 ","$315,000 ",5,3/23/2022,23832
762-69-05-53-300-000,Single Family,CLOSD,3901 Litchfield DR,Creekwood,Detached,3,2.1,6,"1,920","$289,990 ","$285,000 ",8,7/26/2021,23832
758-68-99-17-100-000,Single Family,CLOSD,8320 Lyndale DR,Bedford,Detached,3,2,6,"1,552","$290,000 ","$310,000 ",4,6/10/2022,23235
767-69-20-61-800-000,Single Family,CLOSD,3575 Pierson DR,Belmont Hills,Detached,4,2,7,"2,080","$290,000 ","$292,000 ",12,4/29/2022,23832
764-69-01-53-900-000,Single Family,CLOSD,4025 Round Hill DR,Creekwood,Detached,4,3,7,"1,822","$290,000 ","$290,000 ",5,10/25/2021,23832
767-69-27-14-100-000,Single Family,CLOSD,3640 Becket DR,Belmont Hills,Detached,4,2.1,9,"1,926","$295,000 ","$300,000 ",5,1/14/2022,23832
765-69-24-64-200-000,Single Family,CLOSD,3402 Silliman TER,Belmont Hills West,Detached,3,2.1,6,"1,671","$295,000 ","$295,000 ",8,12/20/2021,23832
763-69-01-60-600-000,Single Family,CLOSD,7511 Lantern Ridge CT,Creekwood,Detached,4,2.1,8,"1,788","$297,950 ","$325,000 ",3,5/4/2022,23832
766-69-12-37-100-000,Single Family,CLOSD,6921 Old Creek TER,Belmont Hills West,Detached,3,2.1,7,"1,728","$299,000 ","$305,000 ",12,12/3/2021,23832
764-68-90-82-300-000,Single Family,CLOSD,4221 Brixton RD,Creekwood,Detached,4,2.1,8,"2,220","$299,000 ","$315,000 ",4,11/2/2021,23832
767-69-03-72-800-000,Single Family,CLOSD,6912 Laughton DR,Belmont Hills,Detached,4,2.1,7,"1,983","$299,000 ","$330,000 ",6,7/30/2021,23832
763-69-17-78-900-000,Single Family,CLOSD,3507 Newbys Bridge RD,Belmont Farms,Detached,4,2.1,6,"2,002","$299,900 ","$310,000 ",5,1/4/2022,23832
766-69-10-68-000-000,Single Family,CLOSD,6930 Old Creek TER,Belmont Hills West,Detached,4,2.1,8,"1,746","$299,950 ","$305,000 ",7,6/21/2022,23832
766-69-01-70-200-000,Single Family,CLOSD,7142 Windy Creek CIR,Windy Creek,Detached,4,2.1,6,"1,914","$299,950 ","$320,000 ",7,12/10/2021,23832
758-69-00-90-400-000,Single Family,CLOSD,3709 Tanbark RD,Longwood Acres,Detached,4,2.1,9,"2,916","$299,950 ","$300,000 ",7,9/17/2021,23235
767-69-03-60-200-000,Single Family,CLOSD,6812 Windy Creek PL,Windy Creek,Detached,4,2.1,8,"2,074","$299,950 ","$310,000 ",4,10/4/2021,23832
763-68-91-43-500-000,Single Family,CLOSD,4119 Litchfield DR,Creekwood,Detached,4,2.1,8,"1,940","$299,950 ","$320,200 ",4,9/17/2021,23832
763-69-05-14-200-000,Single Family,CLOSD,3940 Llewellyn LN,Creekwood,Detached,4,2.1,8,"1,976","$299,950 ","$318,500 ",6,7/27/2021,23832
769-69-71-52-400-000,Single Family,CLOSD,6500 Wimbledon DR,Marlboro,Detached,4,2.1,9,"2,320","$299,999 ","$340,000 ",6,5/18/2022,23224
763-69-09-04-500-000,Single Family,CLOSD,4000 Round Hill DR,Creekwood,Detached,4,2.1,7,"2,114","$300,000 ","$340,000 ",5,2/25/2022,23832
761-68-84-18-200-000,Single Family,CLOSD,8003 Sussex CT,Sussex Estate,Detached,3,2.1,7,"1,918","$306,999 ","$312,000 ",104,11/23/2021,23832
765-68-96-77-900-000,Single Family,CLOSD,4030 Stone Creek TER,Windy Creek,Detached,3,2.1,6,"1,620","$308,599 ","$312,000 ",3,5/13/2022,23832
764-69-02-83-400-000,Single Family,CLOSD,3936 Round Hill CT,Creekwood,Detached,4,2.1,7,"1,896","$310,000 ","$361,000 ",3,5/27/2022,23832
767-68-72-69-100-000,Single Family,CLOSD,6705 Gills Gate DR,Gills Gate,Detached,4,2.1,9,"1,960","$315,000 ","$315,000 ",4,5/5/2022,23832
765-68-91-32-800-000,Single Family,CLOSD,4247 Ketcham DR,Creekwood,Detached,4,2.1,9,"2,200","$315,000 ","$320,000 ",8,5/23/2022,23832
763-68-86-76-100-000,Single Family,CLOSD,4306 Brixton RD,Creekwood,Detached,4,2.1,9,"2,513","$315,000 ","$333,000 ",6,8/26/2021,23832
765-69-32-51-800-000,Single Family,CLOSD,3211 Holridge ST,Holly Ridge,Detached,4,3,7,"1,860","$315,990 ","$315,000 ",10,6/17/2022,23832
765-68-81-91-900-000,Single Family,CLOSD,4401 Ketcham DR,Creekwood,Detached,4,2.1,8,"2,160","$319,950 ","$335,000 ",9,12/28/2021,23832
762-68-98-62-900-000,Single Family,CLOSD,4112 Litchfield DR,Creekwood,Detached,4,3.1,6,"2,314","$320,000 ","$341,000 ",6,9/8/2021,23832
759-68-94-18-100-000,Single Family,CLOSD,3910 Huntwood RD,Bedford,Detached,4,2.1,8,"1,872","$324,950 ","$345,000 ",7,2/15/2022,23235
764-68-70-95-500-000,Single Family,CLOSD,7419 Towchester DR,Creekwood,Detached,4,2.1,9,"2,540","$325,000 ","$395,000 ",6,4/8/2022,23832
765-69-06-95-500-000,Single Family,CLOSD,7107 Dortonway PL,Windy Creek,Detached,4,2.1,10,"2,809","$325,000 ","$350,000 ",14,7/29/2021,23832
758-68-96-74-000-000,Single Family,CLOSD,8409 Bagette RD,Longwood Acres,Detached,3,2.1,7,"1,997","$327,500 ","$325,000 ",46,12/14/2021,23235
763-68-86-45-100-000,Single Family,CLOSD,4312 Brixton RD,Creekwood,Detached,4,2.1,8,"2,096","$330,000 ","$380,000 ",4,6/24/2022,23832
758-69-05-44-000-000,Single Family,CLOSD,3710 Huntwood RD,Longwood Acres,Detached,4,3,8,"2,392","$339,000 ","$315,000 ",23,7/25/2022,23235
763-68-83-71-500-000,Single Family,CLOSD,4331 Litchfield DR,Creekwood,Detached,4,2.1,10,"2,100","$339,950 ","$390,000 ",8,6/6/2022,23832
767-68-78-56-300-000,Single Family,CLOSD,6513 Gills Gate DR,Gills Gate,Detached,4,2.1,9,"2,114","$340,000 ","$340,000 ",9,5/31/2022,23832
759-69-03-80-400-000,Single Family,CLOSD,3901 Huntwood RD,Bedford,Detached,4,2.1,8,"1,976","$345,000 ","$342,000 ",22,12/17/2021,23235
765-69-14-09-700-000,Single Family,CLOSD,3500 Slate CT,Belmont Hills West,Detached,4,2.1,8,"2,072","$349,500 ","$375,000 ",4,7/11/2022,23832
758-68-85-99-400-000,Single Family,CLOSD,8500 Lyndale DR,Bedford,Detached,4,3,7,"2,499","$349,900 ","$349,900 ",31,2/28/2022,23235
763-68-93-45-500-000,Single Family,CLOSD,4200 Farmhill LN,Creekwood,Detached,5,3.1,10,"2,510","$350,000 ","$354,000 ",3,8/23/2021,23832
7.64684E+14,Single Family,CLOSD,4901 Appelman Ridge CT,Pennwood Estates,Detached,5,2.1,9,"2,232","$351,950 ","$360,216 ",0,4/5/2022,23832
761-68-98-61-300-000,Single Family,CLOSD,4013 Newbys Bridge RD,Newbys Wood,Detached,4,3,6,"1,758","$364,500 ","$400,000 ",6,5/19/2022,23832
762-68-84-01-300-000,Single Family,CLOSD,7800 Little Ridge CT,Creekwood,Detached,4,2.1,9,"2,224","$365,000 ","$370,000 ",6,7/19/2022,23832
762-68-94-82-400-000,Single Family,CLOSD,4305 Soundview LN,Creekwood,Detached,5,2.1,10,"3,092","$365,000 ","$375,000 ",4,8/17/2021,23832
759-68-91-09-500-000,Single Family,CLOSD,3820 Huntwood RD,Bedford,Detached,3,2.1,7,"2,086","$379,000 ","$379,000 ",8,7/15/2022,23235
765-68-95-09-500-000,Single Family,CLOSD,4012 Stone Creek TER,Windy Creek,Detached,4,2.1,9,"2,349","$389,500 ","$398,000 ",5,3/28/2022,23832
To be determined,Condo/Town,CLOSD,1545 Westhall Gardens DR Unit#38-3,The Townes At Notting Place,Townhouse,2,2.1,6,"1,718","$389,923 ","$389,933 ",0,6/6/2022,23235
763-68-71-51-500-000,Single Family,CLOSD,4442 Litchfield DR,Creekwood,Detached,4,2.1,7,"2,962","$389,950 ","$420,000 ",4,10/12/2021,23832
763-68-77-00-900-000,Single Family,CLOSD,7505 Ashby LN,Creekwood,Detached,4,2.1,10,"2,632","$389,950 ","$395,000 ",4,7/30/2021,23832
763-68-67-76-400-000,Single Family,CLOSD,4526 Litchfield DR,Creekwood,Detached,4,2.1,8,"2,808","$399,950 ","$480,000 ",8,5/2/2022,23832
763-68-75-81-100-000,Single Family,CLOSD,7511 Ashby LN,Creekwood,Detached,4,3.1,9,"3,020","$420,000 ","$445,000 ",7,5/19/2022,23832
760-68-86-22-400-000,Single Family,CLOSD,4301 Newbys Bridge RD,Sussex Estate,Detached,4,3,9,"2,292","$425,000 ","$430,000 ",69,11/15/2021,23832
