source,sumlevel,geoid,name,st,cnty,tract,T7_est1,T7_est2,T7_est3,T7_est4,T7_est5,T7_est6,T7_est7,T7_est8,T7_est9,T7_est10,T7_est11,T7_est12,T7_est13,T7_est14,T7_est15,T7_est16,T7_est17,T7_est18,T7_est19,T7_est20,T7_est21,T7_est22,T7_est23,T7_est24,T7_est25,T7_est26,T7_est27,T7_est28,T7_est29,T7_est30,T7_est31,T7_est32,T7_est33,T7_est34,T7_est35,T7_est36,T7_est37,T7_est38,T7_est39,T7_est40,T7_est41,T7_est42,T7_est43,T7_est44,T7_est45,T7_est46,T7_est47,T7_est48,T7_est49,T7_est50,T7_est51,T7_est52,T7_est53,T7_est54,T7_est55,T7_est56,T7_est57,T7_est58,T7_est59,T7_est60,T7_est61,T7_est62,T7_est63,T7_est64,T7_est65,T7_est66,T7_est67,T7_est68,T7_est69,T7_est70,T7_est71,T7_est72,T7_est73,T7_est74,T7_est75,T7_est76,T7_est77,T7_est78,T7_est79,T7_est80,T7_est81,T7_est82,T7_est83,T7_est84,T7_est85,T7_est86,T7_est87,T7_est88,T7_est89,T7_est90,T7_est91,T7_est92,T7_est93,T7_est94,T7_est95,T7_est96,T7_est97,T7_est98,T7_est99,T7_est100,T7_est101,T7_est102,T7_est103,T7_est104,T7_est105,T7_est106,T7_est107,T7_est108,T7_est109,T7_est110,T7_est111,T7_est112,T7_est113,T7_est114,T7_est115,T7_est116,T7_est117,T7_est118,T7_est119,T7_est120,T7_est121,T7_est122,T7_est123,T7_est124,T7_est125,T7_est126,T7_est127,T7_est128,T7_est129,T7_est130,T7_est131,T7_est132,T7_est133,T7_est134,T7_est135,T7_est136,T7_est137,T7_est138,T7_est139,T7_est140,T7_est141,T7_est142,T7_est143,T7_est144,T7_est145,T7_est146,T7_est147,T7_est148,T7_est149,T7_est150,T7_est151,T7_est152,T7_est153,T7_est154,T7_est155,T7_est156,T7_est157,T7_est158,T7_est159,T7_est160,T7_est161,T7_est162,T7_est163,T7_est164,T7_est165,T7_est166,T7_est167,T7_est168,T7_est169,T7_est170,T7_est171,T7_est172,T7_est173,T7_est174,T7_est175,T7_est176,T7_est177,T7_est178,T7_est179,T7_est180,T7_est181,T7_est182,T7_est183,T7_est184,T7_est185,T7_est186,T7_est187,T7_est188,T7_est189,T7_est190,T7_est191,T7_est192,T7_est193,T7_est194,T7_est195,T7_est196,T7_est197,T7_est198,T7_est199,T7_est200,T7_est201,T7_est202,T7_est203,T7_est204,T7_est205,T7_est206,T7_est207,T7_est208,T7_est209,T7_est210,T7_est211,T7_est212,T7_est213,T7_moe1,T7_moe2,T7_moe3,T7_moe4,T7_moe5,T7_moe6,T7_moe7,T7_moe8,T7_moe9,T7_moe10,T7_moe11,T7_moe12,T7_moe13,T7_moe14,T7_moe15,T7_moe16,T7_moe17,T7_moe18,T7_moe19,T7_moe20,T7_moe21,T7_moe22,T7_moe23,T7_moe24,T7_moe25,T7_moe26,T7_moe27,T7_moe28,T7_moe29,T7_moe30,T7_moe31,T7_moe32,T7_moe33,T7_moe34,T7_moe35,T7_moe36,T7_moe37,T7_moe38,T7_moe39,T7_moe40,T7_moe41,T7_moe42,T7_moe43,T7_moe44,T7_moe45,T7_moe46,T7_moe47,T7_moe48,T7_moe49,T7_moe50,T7_moe51,T7_moe52,T7_moe53,T7_moe54,T7_moe55,T7_moe56,T7_moe57,T7_moe58,T7_moe59,T7_moe60,T7_moe61,T7_moe62,T7_moe63,T7_moe64,T7_moe65,T7_moe66,T7_moe67,T7_moe68,T7_moe69,T7_moe70,T7_moe71,T7_moe72,T7_moe73,T7_moe74,T7_moe75,T7_moe76,T7_moe77,T7_moe78,T7_moe79,T7_moe80,T7_moe81,T7_moe82,T7_moe83,T7_moe84,T7_moe85,T7_moe86,T7_moe87,T7_moe88,T7_moe89,T7_moe90,T7_moe91,T7_moe92,T7_moe93,T7_moe94,T7_moe95,T7_moe96,T7_moe97,T7_moe98,T7_moe99,T7_moe100,T7_moe101,T7_moe102,T7_moe103,T7_moe104,T7_moe105,T7_moe106,T7_moe107,T7_moe108,T7_moe109,T7_moe110,T7_moe111,T7_moe112,T7_moe113,T7_moe114,T7_moe115,T7_moe116,T7_moe117,T7_moe118,T7_moe119,T7_moe120,T7_moe121,T7_moe122,T7_moe123,T7_moe124,T7_moe125,T7_moe126,T7_moe127,T7_moe128,T7_moe129,T7_moe130,T7_moe131,T7_moe132,T7_moe133,T7_moe134,T7_moe135,T7_moe136,T7_moe137,T7_moe138,T7_moe139,T7_moe140,T7_moe141,T7_moe142,T7_moe143,T7_moe144,T7_moe145,T7_moe146,T7_moe147,T7_moe148,T7_moe149,T7_moe150,T7_moe151,T7_moe152,T7_moe153,T7_moe154,T7_moe155,T7_moe156,T7_moe157,T7_moe158,T7_moe159,T7_moe160,T7_moe161,T7_moe162,T7_moe163,T7_moe164,T7_moe165,T7_moe166,T7_moe167,T7_moe168,T7_moe169,T7_moe170,T7_moe171,T7_moe172,T7_moe173,T7_moe174,T7_moe175,T7_moe176,T7_moe177,T7_moe178,T7_moe179,T7_moe180,T7_moe181,T7_moe182,T7_moe183,T7_moe184,T7_moe185,T7_moe186,T7_moe187,T7_moe188,T7_moe189,T7_moe190,T7_moe191,T7_moe192,T7_moe193,T7_moe194,T7_moe195,T7_moe196,T7_moe197,T7_moe198,T7_moe199,T7_moe200,T7_moe201,T7_moe202,T7_moe203,T7_moe204,T7_moe205,T7_moe206,T7_moe207,T7_moe208,T7_moe209,T7_moe210,T7_moe211,T7_moe212,T7_moe213
2014thru2018,140,14000US51041100405,"Census Tract 1004.05, Chesterfield County, Virginia",51,41,100405,815,325,20,4,0,0,4,0,0,0,0,10,0,0,10,4,4,0,0,0,0,0,0,30,4,4,0,0,0,0,0,0,0,0,0,0,15,15,0,0,4,4,0,0,105,25,15,0,4,20,20,0,0,35,35,0,0,25,25,0,0,4,4,0,0,45,0,0,0,0,10,10,0,0,15,0,15,0,4,4,0,0,15,15,0,0,120,40,40,0,0,50,50,0,0,0,0,0,0,15,15,0,0,15,15,0,0,495,95,0,0,0,0,65,4,20,40,0,0,0,0,4,0,0,4,30,0,0,25,100,0,0,0,0,15,0,15,0,35,20,15,0,0,0,0,0,50,4,35,4,120,0,0,0,0,90,75,15,0,4,0,4,0,0,0,0,0,25,20,4,0,85,35,15,15,0,15,15,0,0,35,25,10,0,0,0,0,0,0,0,0,0,95,4,4,0,0,70,70,0,0,15,15,0,0,0,0,0,0,4,4,0,0,47,68,22,13,12,12,13,12,12,12,12,16,12,12,16,9,9,12,12,12,12,12,12,22,16,16,12,12,12,12,12,12,12,12,12,12,17,17,12,12,10,10,12,12,55,18,17,12,14,19,19,12,12,46,46,12,12,22,22,12,12,12,12,12,12,30,12,12,12,12,16,16,12,12,22,12,22,12,15,15,12,12,15,15,12,12,40,22,22,12,12,25,25,12,12,12,12,12,12,15,15,12,12,21,21,12,12,70,49,12,12,12,12,40,3,33,36,12,12,12,12,11,12,12,11,30,12,12,29,65,12,12,12,12,30,12,30,12,39,33,27,12,12,12,12,12,38,9,37,10,58,12,12,12,12,57,52,27,12,12,12,12,12,12,12,12,12,27,26,9,12,49,28,16,24,12,28,28,12,12,33,33,14,12,12,12,12,12,12,12,12,12,59,5,5,12,12,52,52,12,12,27,27,12,12,12,12,12,12,2,2,12,12
2014thru2018,140,14000US51041100406,"Census Tract 1004.06, Chesterfield County, Virginia",51,41,100406,590,50,4,0,0,0,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,15,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,20,20,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,155,4,0,0,4,60,0,0,60,0,0,0,0,60,30,4,25,30,0,4,25,230,10,4,10,0,120,30,25,65,15,0,15,0,25,0,20,4,60,0,40,20,115,10,10,0,0,65,50,15,0,0,0,0,0,20,20,0,0,20,4,15,0,20,0,0,0,0,10,10,0,0,4,4,0,0,4,4,0,0,0,0,0,0,15,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,57,21,7,12,12,12,12,4,12,4,12,12,12,12,12,12,12,12,12,12,12,12,12,22,4,12,4,12,12,12,12,12,12,12,12,12,12,12,12,12,18,12,12,18,20,20,17,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,2,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,60,58,1,12,12,1,46,12,12,46,12,12,12,12,38,30,3,22,27,12,2,27,67,14,12,13,12,53,32,29,42,26,12,26,12,19,12,15,7,39,12,35,25,57,14,14,12,12,46,47,14,12,12,12,12,12,25,25,12,12,26,2,26,12,18,12,12,12,12,14,14,12,12,15,15,12,12,6,6,12,12,12,12,12,12,20,12,12,12,12,17,17,12,12,12,12,12,12,12,12,12,12,13,13,12,12
2014thru2018,140,14000US51041100407,"Census Tract 1004.07, Chesterfield County, Virginia",51,41,100407,1165,735,70,15,0,0,15,20,0,10,10,0,0,0,0,15,0,0,15,20,0,0,10,65,20,10,10,0,20,0,4,15,0,0,0,0,10,0,10,0,20,10,0,10,250,65,55,10,0,110,80,10,25,0,0,0,0,50,50,0,0,25,15,10,0,105,30,20,10,0,50,50,0,0,20,20,0,0,10,10,0,0,0,0,0,0,245,50,50,0,0,125,125,0,0,4,4,0,0,30,20,0,10,30,30,0,0,430,80,0,0,0,0,4,0,0,4,50,0,0,50,0,0,0,0,25,0,0,25,85,0,0,0,0,15,0,0,15,30,0,30,0,0,0,0,0,40,0,0,40,70,15,4,10,0,45,10,35,0,15,15,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,55,55,0,0,135,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,100,100,0,0,105,135,37,31,12,12,31,16,12,14,14,12,12,12,12,28,12,12,28,24,12,12,17,38,23,13,16,12,20,12,7,19,12,12,12,12,13,12,13,12,23,15,12,13,111,59,56,14,12,70,62,17,37,12,12,12,12,35,35,12,12,25,19,16,12,50,27,22,18,12,40,40,12,12,23,23,12,12,16,16,12,12,12,12,12,12,70,32,32,12,12,49,49,12,12,14,14,12,12,29,24,12,15,31,31,12,12,140,45,12,12,12,12,8,12,12,8,31,12,12,31,12,12,12,12,39,12,12,39,74,12,12,12,12,21,12,12,21,41,12,41,12,12,12,12,12,47,12,12,47,58,17,8,13,12,48,27,40,12,24,24,12,12,12,12,12,12,12,12,12,12,72,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,71,71,12,12,98,12,12,12,12,27,27,12,12,12,12,12,12,12,12,12,12,104,104,12,12
2014thru2018,140,14000US51041100409,"Census Tract 1004.09, Chesterfield County, Virginia",51,41,100409,2400,2080,55,40,0,25,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,120,45,20,15,15,30,0,15,15,0,0,0,0,40,30,0,10,0,0,0,0,440,90,55,35,0,140,85,55,0,75,55,20,0,95,40,55,0,40,0,40,0,215,70,70,0,0,105,105,0,0,0,0,0,0,10,0,10,0,30,15,15,0,1250,125,110,10,0,805,805,0,0,70,70,0,4,60,60,0,0,190,190,0,0,325,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,15,0,15,0,4,0,4,0,15,0,0,15,90,20,70,0,25,0,0,0,0,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,142,52,44,17,37,28,17,17,17,17,17,17,17,17,25,17,17,17,17,17,17,17,63,43,33,22,24,38,17,32,25,17,17,17,17,38,33,17,19,17,17,17,17,142,57,43,39,17,115,106,52,17,66,61,37,17,89,39,79,17,45,17,45,17,100,48,48,17,17,80,80,17,17,17,17,17,17,23,17,23,17,35,23,29,17,165,61,55,22,17,173,173,17,17,55,54,17,8,50,50,17,17,80,80,17,17,133,28,17,17,17,17,17,17,17,17,28,17,17,28,17,17,17,17,17,17,17,17,25,17,17,17,17,25,17,25,17,17,17,17,17,17,17,17,17,17,17,17,17,76,17,17,17,17,24,17,24,17,14,17,14,17,22,17,17,22,71,32,75,17,32,17,17,17,17,32,17,30,17,17,17,17,17,17,17,17,17,17,17,17,17,110,17,17,17,17,110,110,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2014thru2018,140,14000US51041100410,"Census Tract 1004.10, Chesterfield County, Virginia",51,41,100410,1100,360,40,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,25,0,25,0,20,0,0,0,0,10,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,30,10,0,10,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,95,30,15,15,0,40,20,20,0,0,0,0,0,15,15,0,0,10,10,0,0,175,60,60,0,0,45,45,0,0,15,15,0,0,20,20,0,0,35,35,0,0,740,205,4,0,0,0,35,0,0,35,10,0,0,0,100,20,0,60,60,0,4,55,135,4,0,0,4,25,0,15,10,15,0,0,15,55,0,30,25,30,0,4,25,125,4,0,4,0,65,0,65,0,20,0,20,0,10,0,10,0,25,25,0,0,100,0,0,0,0,45,45,0,0,0,0,0,0,25,10,4,4,30,30,0,0,175,0,0,0,0,95,95,0,0,0,0,0,0,4,4,0,0,75,75,0,0,67,58,41,12,12,12,12,12,12,12,12,12,12,12,12,20,12,12,20,38,12,38,12,22,12,12,12,12,14,14,12,12,12,12,12,12,18,12,18,12,12,12,12,12,27,13,12,13,12,12,12,12,12,12,12,12,12,27,27,12,12,12,12,12,12,57,30,22,26,12,41,28,35,12,12,12,12,12,23,23,12,12,16,16,12,12,57,42,42,12,12,39,39,12,12,30,30,12,12,22,22,12,12,39,39,12,12,84,67,10,12,12,12,42,12,12,42,16,12,12,12,63,35,12,50,49,12,10,47,61,19,12,12,19,25,12,21,16,27,12,12,27,33,12,31,23,35,12,8,34,53,17,12,17,12,51,12,51,12,27,12,27,12,19,12,19,12,27,27,12,12,70,12,12,12,12,57,57,12,12,12,12,12,12,25,21,11,16,38,38,12,12,80,12,12,12,12,61,61,12,12,12,12,12,12,10,10,12,12,52,52,12,12
2014thru2018,140,14000US51041100505,"Census Tract 1005.05, Chesterfield County, Virginia",51,41,100505,2145,1525,105,0,0,0,0,15,0,0,15,0,0,0,0,95,0,70,20,0,0,0,0,80,40,15,10,15,0,0,0,0,0,0,0,0,40,20,0,20,0,0,0,0,265,30,30,0,0,30,30,0,0,50,0,50,0,55,20,0,35,105,15,90,0,235,55,35,20,0,55,40,15,0,25,25,0,0,95,70,25,0,0,0,0,0,835,200,165,30,0,440,440,0,0,115,115,0,0,30,30,0,0,50,25,25,0,625,65,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,50,0,0,50,70,0,0,0,0,50,15,0,35,0,0,0,0,0,0,0,0,20,0,0,20,175,0,0,0,0,85,55,30,0,80,60,20,0,0,0,0,0,10,0,10,0,45,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,15,15,0,0,265,0,0,0,0,180,165,10,0,0,0,0,0,0,0,0,0,85,85,0,0,53,155,88,17,17,17,17,28,17,17,28,17,17,17,17,82,17,77,31,17,17,17,17,60,38,23,22,23,17,17,17,17,17,17,17,17,47,38,17,32,17,17,17,17,144,31,31,17,17,43,43,17,17,74,17,74,17,58,32,17,52,109,25,107,17,101,51,38,35,17,48,40,27,17,37,37,17,17,56,52,38,17,17,17,17,17,148,97,83,51,17,124,124,17,17,67,67,17,17,37,37,17,17,44,40,31,17,155,67,17,17,17,17,34,17,17,34,17,17,17,17,17,17,17,17,57,17,17,57,78,17,17,17,17,71,25,17,56,17,17,17,17,17,17,17,17,33,17,17,33,105,17,17,17,17,91,81,45,17,67,60,39,17,17,17,17,17,17,17,17,17,48,17,17,17,17,46,46,17,17,17,17,17,17,17,17,17,17,21,21,17,17,128,17,17,17,17,119,118,21,17,17,17,17,17,17,17,17,17,86,86,17,17
2014thru2018,140,14000US51041100506,"Census Tract 1005.06, Chesterfield County, Virginia",51,41,100506,2060,1385,40,0,0,0,0,20,20,0,0,0,0,0,0,15,0,0,15,10,10,0,0,130,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,15,15,0,0,105,25,70,10,75,75,0,0,20,0,0,20,35,20,15,0,140,25,25,0,0,100,95,4,0,0,0,0,0,0,0,0,0,10,0,10,0,825,215,180,35,0,505,455,50,0,45,45,0,0,30,30,0,0,35,35,0,0,680,175,0,0,0,0,25,0,0,15,0,0,0,0,0,0,0,0,150,0,0,115,90,0,0,0,0,90,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,160,45,0,0,45,55,0,55,0,0,0,0,0,0,0,0,0,60,0,60,0,30,0,0,0,0,25,25,0,0,4,0,4,0,0,0,0,0,0,0,0,0,225,0,0,0,0,180,180,0,0,45,45,0,0,0,0,0,0,0,0,0,0,158,245,48,17,17,17,17,36,36,17,17,17,17,17,17,23,17,17,23,16,16,17,17,135,17,17,17,17,135,135,17,17,17,17,17,17,17,17,17,17,17,17,17,17,147,29,29,17,17,84,36,69,22,110,110,17,17,33,17,17,33,40,36,23,17,97,40,40,17,17,95,99,15,17,17,17,17,17,17,17,17,17,20,17,20,17,186,99,78,51,17,149,151,46,17,53,53,17,17,28,28,17,17,36,36,17,17,232,109,17,17,17,17,31,17,17,30,17,17,17,17,17,17,17,17,116,17,17,105,123,17,17,17,17,123,17,69,92,17,17,17,17,17,17,17,17,17,17,17,17,128,68,17,17,68,73,17,73,17,17,17,17,17,17,17,17,17,88,17,88,17,41,17,17,17,17,36,36,17,17,18,17,18,17,17,17,17,17,17,17,17,17,123,17,17,17,17,108,108,17,17,60,60,17,17,17,17,17,17,17,17,17,17
2014thru2018,140,14000US51041100507,"Census Tract 1005.07, Chesterfield County, Virginia",51,41,100507,2370,2220,80,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,65,0,0,45,110,0,0,0,0,65,15,50,0,0,0,0,0,40,0,0,40,0,0,0,0,340,50,15,35,0,120,50,70,0,55,0,55,0,55,35,0,20,60,45,15,0,165,45,45,0,0,20,20,0,0,60,15,50,0,10,10,0,0,25,10,15,0,1530,335,315,20,0,805,780,20,0,115,115,0,0,105,95,10,0,170,160,10,0,150,45,0,0,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,45,0,45,0,0,0,0,0,0,0,0,0,15,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,30,0,0,0,0,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,50,99,74,17,17,17,17,17,17,17,17,17,17,17,17,22,17,17,22,73,17,17,63,92,17,17,17,17,60,28,51,17,17,17,17,17,67,17,17,67,17,17,17,17,169,51,26,45,17,107,75,85,17,51,17,51,17,48,33,17,35,67,66,23,17,102,40,40,17,17,34,34,17,17,68,23,66,17,20,20,17,17,31,22,24,17,187,110,110,34,17,144,145,34,17,69,69,17,17,58,56,14,17,87,84,18,17,94,72,17,17,17,17,17,17,17,17,72,17,17,72,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,53,17,17,17,17,57,17,57,17,17,17,17,17,17,17,17,17,25,17,25,17,32,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,32,17,32,17,34,17,17,17,17,34,23,23,17,17,17,17,17,17,17,17,17,17,17,17,17
2014thru2018,140,14000US51041100508,"Census Tract 1005.08, Chesterfield County, Virginia",51,41,100508,1870,1275,80,0,0,0,0,0,0,0,0,0,0,0,0,35,25,0,15,40,0,10,35,65,0,0,0,0,40,20,15,4,0,0,0,0,15,15,0,0,10,0,10,0,230,40,10,25,0,95,50,45,0,30,10,20,0,35,25,0,15,30,20,10,0,155,70,50,20,0,50,40,10,0,0,0,0,0,10,10,0,0,25,25,0,0,755,125,125,0,0,375,375,0,0,80,80,0,0,60,40,20,0,110,105,10,0,590,100,10,0,0,10,20,0,0,20,0,0,0,0,0,0,0,0,70,0,0,50,120,0,0,0,0,65,0,50,20,40,0,40,0,0,0,0,0,10,0,0,10,100,0,0,0,0,20,4,10,0,45,35,10,0,0,0,0,0,35,0,35,0,150,15,0,15,0,10,10,0,0,45,45,0,0,0,0,0,0,80,80,0,0,130,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,25,25,0,0,66,122,49,17,17,17,17,17,17,17,17,17,17,17,17,29,21,17,22,41,17,15,42,45,17,17,17,17,37,26,28,11,17,17,17,17,22,22,17,17,15,17,15,17,80,34,19,28,17,66,41,53,17,32,13,30,17,35,28,17,23,29,24,15,17,68,49,43,30,17,45,43,14,17,17,17,17,17,14,14,17,17,19,19,17,17,122,51,51,17,17,105,105,17,17,66,66,17,17,40,33,24,17,87,82,14,17,114,67,14,17,17,14,26,17,17,26,17,17,17,17,17,17,17,17,62,17,17,54,85,17,17,17,17,53,17,56,34,64,17,64,17,17,17,17,17,16,17,17,16,67,17,17,17,17,24,11,20,17,49,47,17,17,17,17,17,17,44,17,44,17,102,22,17,22,17,23,23,17,17,65,65,17,17,17,17,17,17,71,71,17,17,95,17,17,17,17,91,91,17,17,17,17,17,17,17,17,17,17,28,28,17,17
2014thru2018,140,14000US51041100509,"Census Tract 1005.09, Chesterfield County, Virginia",51,41,100509,2340,2010,35,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,15,0,0,15,0,0,0,0,45,0,30,15,15,0,15,0,215,50,35,15,0,125,60,40,25,0,0,0,0,15,15,0,0,25,0,15,10,250,20,20,0,0,130,50,25,60,35,35,0,0,25,25,0,0,40,10,25,0,1440,205,185,20,0,840,815,25,0,230,215,15,0,80,60,20,0,85,85,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,0,45,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,15,15,0,0,25,25,0,0,0,0,0,0,0,0,0,0,185,30,30,0,0,60,60,0,0,30,30,0,0,10,10,0,0,55,0,55,0,97,170,37,37,17,17,37,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,56,17,17,17,17,23,17,17,23,17,17,17,17,48,17,36,24,22,17,22,17,113,54,40,30,17,88,62,46,42,17,17,17,17,24,24,17,17,33,17,24,23,128,34,34,17,17,110,50,31,90,38,38,17,17,33,33,17,17,39,22,32,17,195,95,93,34,17,126,128,33,17,102,99,24,17,54,52,33,17,90,90,17,17,146,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,79,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,79,60,17,66,29,17,17,17,17,29,29,17,17,17,17,17,17,17,17,17,17,17,17,17,17,50,17,17,17,17,28,28,17,17,40,40,17,17,17,17,17,17,17,17,17,17,132,44,44,17,17,72,72,17,17,39,39,17,17,18,18,17,17,79,17,79,17
2014thru2018,140,14000US51041100510,"Census Tract 1005.10, Chesterfield County, Virginia",51,41,100510,1525,875,25,4,0,0,0,0,0,0,0,0,0,0,0,20,0,10,4,0,0,0,0,50,10,0,10,0,20,0,4,10,0,0,0,0,10,10,0,0,10,0,10,0,190,50,50,0,0,35,25,15,0,30,30,0,0,20,20,0,0,50,40,15,0,140,20,10,10,0,45,45,0,0,10,10,0,0,30,20,10,0,35,35,0,0,470,140,140,0,0,220,215,4,0,25,25,0,0,45,35,10,0,45,45,0,0,645,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,85,30,30,0,0,35,0,25,10,0,0,0,0,20,20,0,0,0,0,0,0,105,10,0,10,0,80,10,70,0,0,0,0,0,0,0,0,0,15,0,15,0,100,0,0,0,0,90,65,30,0,0,0,0,0,10,0,10,0,0,0,0,0,350,0,0,0,0,180,180,0,0,85,85,0,0,0,0,0,0,85,85,0,0,109,101,24,13,12,12,12,12,12,12,12,12,12,12,12,23,12,19,17,12,12,12,12,39,15,12,15,12,23,12,15,20,12,12,12,12,19,19,12,12,19,12,19,12,75,36,36,12,12,39,27,22,12,29,29,12,12,25,25,12,12,38,32,23,12,53,24,14,16,12,33,33,12,12,21,21,12,12,28,22,15,12,39,39,12,12,84,49,49,12,12,77,76,6,12,25,25,12,12,42,38,17,12,39,39,12,12,103,14,12,12,12,12,14,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,65,46,46,12,12,42,12,37,17,12,12,12,12,29,29,12,12,12,12,12,12,64,14,12,14,12,61,19,59,12,12,12,12,12,12,12,12,12,23,12,23,12,65,12,12,12,12,60,56,23,12,12,12,12,12,17,12,17,12,12,12,12,12,103,12,12,12,12,77,77,12,12,72,72,12,12,12,12,12,12,48,48,12,12
2014thru2018,140,14000US51041100600,"Census Tract 1006, Chesterfield County, Virginia",51,41,100600,470,355,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,4,0,0,0,0,45,4,4,0,0,0,0,0,0,4,0,4,0,20,4,0,15,15,4,10,0,80,25,15,10,0,35,15,15,4,0,0,0,0,15,4,10,0,4,4,0,0,65,15,15,0,0,25,25,0,0,0,0,0,0,4,4,0,0,20,10,10,0,155,45,45,0,0,85,85,0,0,0,0,0,0,20,20,0,0,4,4,0,0,115,30,4,4,0,0,10,0,0,10,4,0,0,4,10,0,0,10,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,15,15,0,0,0,0,0,0,4,4,0,0,20,0,20,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,51,54,15,12,12,12,12,12,12,12,12,12,12,12,12,15,12,14,7,12,12,12,12,25,3,3,12,12,12,12,12,12,13,12,13,12,18,2,12,14,18,7,20,12,29,16,13,12,12,24,16,18,4,12,12,12,12,19,8,15,12,11,11,12,12,37,13,13,12,12,31,31,12,12,12,12,12,12,2,2,12,12,15,12,15,12,50,35,35,12,12,44,44,12,12,12,12,12,12,25,25,12,12,7,7,12,12,41,25,5,5,12,12,20,12,12,20,6,12,12,6,14,12,12,14,12,12,12,12,26,12,12,12,12,26,12,26,12,12,12,12,12,12,12,12,12,12,12,12,12,31,12,12,12,12,18,18,12,12,12,12,12,12,6,6,12,12,24,12,24,12,17,12,12,12,12,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,10,10,12,12,9,9,12,12,12,12,12,12,12,12,12,12
