period,bedrooms,rent,rent_adj
2018 Q2,2 Beds,"$1,482 ","$1,724 "
2018 Q1,2 Beds,"$1,470 ","$1,720 "
2017 Q4,2 Beds,"$1,459 ","$1,720 "
2017 Q3,2 Beds,"$1,447 ","$1,719 "
2017 Q2,2 Beds,"$1,434 ","$1,712 "
2017 Q1,2 Beds,"$1,420 ","$1,698 "
2022 Q2,3 Beds,"$2,221 ","$2,221 "
2022 Q1,3 Beds,"$2,248 ","$2,305 "
2021 Q4,3 Beds,"$2,232 ","$2,337 "
2021 Q3,3 Beds,"$2,175 ","$2,321 "
2021 Q2,3 Beds,"$2,127 ","$2,307 "
2021 Q1,3 Beds,"$1,946 ","$2,152 "
2020 Q4,3 Beds,"$1,918 ","$2,143 "
2020 Q3,3 Beds,"$1,912 ","$2,149 "
2020 Q2,3 Beds,"$1,900 ","$2,160 "
2020 Q1,3 Beds,"$1,874 ","$2,113 "
2019 Q4,3 Beds,"$1,865 ","$2,109 "
2019 Q3,3 Beds,"$1,859 ","$2,115 "
2019 Q2,3 Beds,"$1,850 ","$2,113 "
2019 Q1,3 Beds,"$1,842 ","$2,120 "
2018 Q4,3 Beds,"$1,832 ","$2,114 "
2018 Q3,3 Beds,"$1,827 ","$2,115 "
2018 Q2,3 Beds,"$1,815 ","$2,111 "
2018 Q1,3 Beds,"$1,805 ","$2,112 "
2017 Q4,3 Beds,"$1,796 ","$2,118 "
2017 Q3,3 Beds,"$1,786 ","$2,123 "
2017 Q2,3 Beds,"$1,775 ","$2,120 "
2017 Q1,3 Beds,"$1,763 ","$2,108 "
